hratio,wratio,sin,cos,andor,lb
0.450980395,0.769230783,0.598058045,0.990290344,0.112142853,1.0
0.551470578,0.411764711,0.621267796,0.985071242,0.737012982,1.0
0.102564104,0.733333349,0.882455587,0.822067857,0.05974026,1.0
0.1086956486105918,0.7307692170143127,0.8999999761581421,0.800000011920929,0.0862691923975944,1.0
0.89552241563797,0.1333333402872085,0.2000000029802322,0.8999999761581421,0.0517156869173049,1.0
0.6595744490623474,0.8604651093482971,0.9965752959251404,0.5584205985069275,0.2458465248346328,0.0
0.9508196711540222,0.260869562625885,0.3143046498298645,0.9642383456230164,0.2023326605558395,1.0
0.7804877758026123,0.8230088353157043,0.9850712418556212,0.6212677955627441,0.3546067476272583,0.0
0.514018714427948,0.0142857143655419,0.1212950199842453,0.8264698386192322,0.0539703704416751,0.0
0.8974359035491943,0.0114942528307437,0.1691891849040985,0.8749189376831055,0.0629568099975586,1.0
0.5400000214576721,0.4841269850730896,0.0527864061295986,0.7236068248748779,0.8106294870376587,1.0
0.1621621549129486,0.0833333358168602,0.9996814131736756,0.5178457498550415,0.250360757112503,0.0
0.4705882370471954,0.1358024626970291,0.996941864490509,0.5552157759666443,0.1139682531356811,0.0
0.4252873659133911,0.0895522385835647,0.9714951515197754,0.6664100885391235,0.2554254531860351,0.0
0.7758620977401733,0.868686854839325,0.1464466154575348,0.1464466154575348,0.5218346118927002,0.0
0.1428571492433548,0.2549019753932953,0.0094629861414432,0.5968165397644043,0.0186068061739206,0.0
0.8219178318977356,0.3360655605792999,0.2330034971237182,0.9227444529533386,0.3614197671413421,1.0
0.6372548937797546,0.9793814420700072,0.3943336009979248,0.0112929176539182,0.5059918761253357,1.0
0.3978494703769684,0.1428571492433548,0.999835729598999,0.512816309928894,0.2679597735404968,0.0
0.5376344323158264,0.1145833358168602,0.9201483130455016,0.7710634469985962,0.2188964039087295,0.0
0.9137930870056152,0.125,0.0903840363025665,0.7867311835289001,0.1185983791947364,1.0
0.5111111402511597,0.4000000059604645,0.6779976487159729,0.9672438502311708,0.165925920009613,1.0
0.0900000035762786,0.5555555820465088,0.8904343843460083,0.8123475313186646,0.089890107512474,1.0
0.9583333134651184,0.1000000014901161,0.3143046498298645,0.9642383456230164,0.0217391308397054,1.0
0.5130434632301331,0.4083333313465118,0.9891170859336852,0.603752076625824,0.3899931907653808,0.0
0.4563106894493103,0.5853658318519592,0.0297230500727891,0.6698222160339355,0.0611764714121818,0.0
0.369047611951828,0.108333334326744,0.1135656312108039,0.8172829747200012,0.0742579102516174,0.0
0.3611111044883728,0.0510204099118709,0.103818379342556,0.8050248026847839,0.0450163409113884,0.0
0.6734693646430969,0.4871794879436493,0.996941864490509,0.4447842240333557,0.317811906337738,0.0
0.5476190447807312,0.5159817337989807,1.0,0.5,0.3124209940433502,0.0
0.90625,0.0670731738209724,0.2200713008642196,0.9142944812774658,0.0876718536019325,1.0
0.4871794879436493,0.5347222089767456,1.0,0.5,0.7913607954978943,1.0
0.1724137961864471,0.7058823704719543,0.7140432000160217,0.9518688917160034,0.0750000029802322,1.0
0.9871794581413268,0.3461538553237915,0.105323888361454,0.8069702982902527,0.1280663758516311,1.0
0.7796609997749329,0.7653061151504517,1.0,0.5,0.3332444429397583,0.0
0.6567164063453674,0.7244898080825806,0.9993761777877808,0.5249688029289246,0.3053652942180633,0.0
0.3265306055545807,0.1666666716337204,0.9762120842933656,0.6523878574371338,0.2701492607593536,0.0
0.3272727131843567,0.19200000166893,0.0189306791871786,0.6362802386283875,0.0125246345996856,0.0
0.5365853905677795,0.0327868834137916,0.0112091097980737,0.6052780151367188,0.0119074387475848,0.0
0.4146341383457184,0.9882352948188782,0.9227444529533386,0.2330034971237182,0.1557271629571914,0.0
0.859375,0.375,0.2763932049274444,0.9472135901451112,0.3818181753158569,1.0
0.0941176488995552,0.6521739363670349,0.8707678914070129,0.8354566693305969,0.0901739746332168,1.0
0.4084506928920746,0.4924242496490478,1.0,0.5,0.3578281998634338,0.0
0.5277777910232544,0.5309734344482422,0.9940060377120972,0.4228115677833557,0.322738766670227,0.0
0.9622641801834106,0.9726027250289916,0.7149667739868164,0.0485697388648986,0.3595516681671142,0.0
0.3725490272045135,0.9191918969154358,0.9733863472938538,0.3390486240386963,0.1580665707588195,0.0
0.8823529481887817,0.0519480518996715,0.1095655933022499,0.8123475313186646,0.0940639302134513,1.0
0.8428571224212646,0.25,0.2859568297863006,0.9518688917160034,0.1212806031107902,1.0
0.1818181872367859,0.625,0.9131136536598206,0.7816684246063232,0.1644444465637207,1.0
0.4555555582046509,0.887499988079071,0.6254810690879822,0.0160015504807233,0.4291933476924896,1.0
0.5777778029441833,0.9740259647369384,0.5683187246322632,0.0046894354745745,0.3786666691303253,1.0
0.9027777910232544,0.3566879034042358,0.2571785449981689,0.9370786547660828,0.3310738801956177,1.0
0.4476190507411957,0.25,0.6993630528450012,0.9585350155830384,0.0994897931814193,1.0
