f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,lb
0.865803957,0.840862811,0.675241172,0.434782594,0.200000003,0.054553397,0.660170138,2.0,0.331216693,0.435146004,0.0
0.777350128,0.916025162,0.344827592,0.111111112,0.421052635,0.196721315,0.406422853,1.394412041,0.220239446,1.137185574,1.0
0.566958964,0.995496213,0.678733051,0.472222209,0.5,0.097347833,0.348611653,2.0,0.684694946,0.753466666,1.0
0.539872587,0.998407662,0.259740263,0.933333337,0.100000001,0.023805982,0.424363315,2.0,1.094315171,0.161247775,1.0
0.01761809,0.631558716,0.539419115,0.942857146,0.014492754,0.030188253,0.165003672,0.167426646,2.0,2.0,1.0
0.5,0.0,0.995475113,0.511363626,0.549019635,0.7327407,0.149253726,0.128585562,2.0,2.0,1.0
0.930544853,0.754226506,0.88397789,0.460784316,0.06666667,0.038081195,1.206117749,2.0,0.188542351,0.241890192,0.0
0.973532915,0.66051966,0.365448505,0.085714288,0.364285707,0.212580711,1.826911211,0.447862506,0.415970802,0.908744633,0.0
0.999376178,0.475031197,0.574712634,0.875,0.737704933,0.234129295,1.287780404,0.33071816,1.399235368,0.39607048,0.0
0.886978626,0.18338111,0.236886635,0.471428573,0.902438998,0.224715352,0.822730541,0.700994849,0.922660291,0.329955876,0.0
0.928093851,0.241667509,0.513595164,0.426666677,0.959595978,0.181116104,0.914199173,0.690541863,0.914714456,0.312196821,0.0
0.763967037,0.07535734,0.484330475,0.460674167,0.949367106,0.324832082,0.494506717,0.557823837,1.300306797,0.542341828,1.0
0.716365516,0.049238469,0.404984415,0.519999981,0.951807201,0.344503045,0.564783096,0.337769181,1.81859684,0.412990004,1.0
0.746028602,0.935281396,0.59760958,0.905405402,0.276422769,0.237947851,0.361418456,0.216377482,1.84859705,1.704778075,1.0
0.9414361715316772,0.734806478023529,0.2852614820003509,0.7333333492279053,0.8387096524238586,0.3286877870559692,0.718425452709198,0.3454596102237701,1.7171707153320312,0.3722238540649414,0.0
0.7465062737464905,0.935011088848114,0.3831417560577392,0.6538461446762085,0.8703703880310059,0.3101029396057129,1.3737800121307373,0.3219596445560455,1.41301167011261,0.228804811835289,0.0
0.8848789930343628,0.8191679120063782,0.2494802474975586,0.8196721076965332,0.808080792427063,0.3209336102008819,0.8862478733062744,0.5429510474205017,1.095276951789856,0.2222919315099716,0.0
0.8963119983673096,0.1951446235179901,0.2377179116010666,0.2763157784938812,0.1698113232851028,0.4167316555976867,0.6551752090454102,0.4681603908538818,0.3211070597171783,1.325080633163452,0.0
0.981598138809204,0.3656005263328552,0.7005254030227661,0.4823529422283172,0.4969325065612793,0.4883545637130737,0.5308327078819275,0.2754042446613312,1.3072866201400757,1.3917797803878784,0.0
0.9691715836524964,0.3271473348140716,0.3030303120613098,0.5,0.90625,0.2600677609443664,0.641789436340332,0.4258350431919098,1.4427732229232788,0.4046528935432434,0.0
0.5199840068817139,0.9996004700660706,0.4968944191932678,0.125,0.75,0.0742998644709587,0.5312100052833557,1.6569530963897705,0.2764983177185058,0.8336219191551208,1.0
0.6315587162971497,0.9823819398880004,0.8108108043670654,0.1282051354646682,0.523809552192688,0.1777328997850418,0.5985172986984253,1.13450288772583,0.2598516941070556,0.7747213244438171,1.0
0.6886484622955322,0.9630461931228638,0.4093567132949829,0.1636363565921783,0.8421052694320679,0.0722110792994499,0.5389049649238586,1.61076021194458,0.3164528012275696,0.7701932191848755,1.0
0.4064439535140991,0.991169273853302,0.3311258256435394,0.9555555582046508,0.1111111119389534,0.0232504066079854,0.4847518801689148,2.0,0.9800463318824768,0.1400066167116165,1.0
0.7236068248748779,0.9472135901451112,0.594059407711029,0.9464285969734192,0.0714285746216774,0.0268995631486177,0.4058199524879455,1.706922173500061,1.1601611375808716,0.2666299641132355,1.0
0.1876524835824966,0.8904343843460083,0.6611570119857788,0.930232584476471,0.0769230797886848,0.0286970604211092,0.6083728671073914,2.0,0.7598637342453003,0.2143205255270004,1.0
0.5980580449104309,0.990290343761444,0.900900900363922,0.3793103396892547,0.3333333432674408,0.0313100814819335,0.4464990794658661,2.0,0.4110377728939056,0.6654897332191467,1.0
